texto,materia
"olá, como são formadas as cavernas? e as estalactites e estalagmites?",Química
"Qual a diferença entre a gordura animal e a gordura vegetal hidrogenada?",Biologia
"Como funciona a relação do ângulo externo do triângulo com os outros dois ângulos internos do triângulo?",Matemática
"(UESB BA/2017) Sejam dois conjuntos não vazios,
quaisquer, X e Y, satisfazendo a seguinte propriedade:
“A quantidade de subconjuntos de X é o dobro da
quantidade de subconjuntos de Y”.
Considerando-se n (X) o número de elementos do
conjunto X, e n (Y), o número de elementos do conjunto
Y, é correto afirmar que n (X) é igual a
01. n (Y) + 4.
02. n (Y) + 2.
03. n (Y) + 1.
04. 2n (Y).
05. 4n (Y).",Matemática
"Boa tarde! Qual a relação das mitocôndrias com a síntese proteica?",Biologia
"Entre as consequências da Expansão Marítima,
não encontramos a)
a formação do Sistema Colonial.
b) o desenvolvimento do eurocentrismo.
c) a expansão do regime assalariado da Europa para a
América.
d) início do processo de acumulação de capitais.
impulsionando o modo de produção capitalista.
e) introdução do trabalho escravo na América.",História
"Ainda não entendi o que significa eu Lírico, pode me explicar?",Literatura
"Quanto vale 18 rad?",Matemática
"Se {-1; 2x+y; 2; 3; 1} = {2; 4; x-y; 1; 3}, então 
a) x>y
b) x<y
c) x=y
d) 2x<y
e) x> 2y",Matemática
"Olá, todos os conceitos de potencial (potencial gravitacional, potencial elétrico, etc) utilizam noções de trabalho? Por quê?",Física
