texto,materia
"olá, como são formadas as cavernas? e as estalactites e estalagmites?",Química
"Qual a diferença entre a gordura animal e a gordura vegetal hidrogenada?",Biologia
"Como funciona a relação do ângulo externo do triângulo com os outros dois ângulos internos do triângulo?",Matemática
"(UESB BA/2017) Sejam dois conjuntos não vazios,
quaisquer, X e Y, satisfazendo a seguinte propriedade:
“A quantidade de subconjuntos de X é o dobro da
quantidade de subconjuntos de Y”.
Considerando-se n (X) o número de elementos do
conjunto X, e n (Y), o número de elementos do conjunto
Y, é correto afirmar que n (X) é igual a
01. n (Y) + 4.
02. n (Y) + 2.
03. n (Y) + 1.
04. 2n (Y).
05. 4n (Y).",Matemática
"Boa tarde! Qual a relação das mitocôndrias com a síntese proteica?",Biologia
"Entre as consequências da Expansão Marítima,
não encontramos a)
a formação do Sistema Colonial.
b) o desenvolvimento do eurocentrismo.
c) a expansão do regime assalariado da Europa para a
América.
d) início do processo de acumulação de capitais.
impulsionando o modo de produção capitalista.
e) introdução do trabalho escravo na América.",História
"Ainda não entendi o que significa eu Lírico, pode me explicar?",Literatura
"Quanto vale 18 rad?",Matemática
"Se {-1; 2x+y; 2; 3; 1} = {2; 4; x-y; 1; 3}, então 
a) x>y
b) x<y
c) x=y
d) 2x<y
e) x> 2y",Matemática
"Olá, todos os conceitos de potencial (potencial gravitacional, potencial elétrico, etc) utilizam noções de trabalho? Por quê?",Física
"Uma planta medicinal utilizada para regular a glicemia é encontrada na região amazônica, sendo popularmente conhecida como pata-de-vaca.

A espécie que funciona como uma “insulina vegetal” possui entre seus compostos químicos um alcano, cuja fórmula contém 74 átomos de hidrogênio. Portanto, o número de átomos de carbono presentes na cadeia carbônica é:

a) 33
b) 34
c) 35
d) 36
e) 37",Química
"Analise as afirmativas sobre os hidrocarbonetos e responda com a soma das alternativas corretas.

(02) O ponto de ebulição de uma série de hidrocarbonetos aumenta com o aumento da cadeia.
(04) Hidrocarbonetos são compostos formados por átomos de carbono e hidrogênio.
(16) Os hidrocarbonetos são compostos apolares e, por isso, solubilizam-se facilmente em água.
(32) A interação intermolecular entre moléculas de hidrocarbonetos são do tipo dipolo induzido",Química
"(PUC-PR) Alcinos são hidrocarbonetos:
a) alifáticos saturados.
b) alicíclicos saturados.
c) alifáticos insaturados com dupla ligação.
d) alicíclicos insaturados com tripla ligação.
e) alifáticos insaturados com tripla ligação.",Química
"Qual cientista propôs o primeiro modelo atômico moderno que ficou conhecido como “bola de bilhar”?

a) Isaac Newton.
b) Demócrito.
c) John Dalton.
d) Ernest Rutherford.",Química
"Como calcular a massa molar?",Química
"O que é mol?",Química
"Se compararmos massas iguais das seguintes substâncias: NaCl, H2O2, HCl e H2O. Qual delas possui maior número de moléculas?",Química
"Quais são os gases nobres?",Química
"Como os elementos são listados sequencialmente na Tabela Periódica?

a) por ordem crescente de massa atômica
b) por ordem crescente de raio atômico
c) por ordem crescente de número atômico
d) por ordem crescente de eletronegatividade",Química
"O que é um atomo?",Química
"Com base nas propriedades da potenciação, qual das sentenças abaixo está correta?

a) (x . y)2 = x2 . y2
b) (x + y)2 = x2 + y2
c) (x - y)2 = x2 - y2
d) (x + y)0 = 0",Matemática
"Como posso simplificar equações?",Matemática
"25 representa quantos por cento de 200?",Matemática
"Júlia acertou 75% das questões de Matemática do teste e Mariana acertou 4/5. Quem acertou mais questões?
a) Júlia
b) Mariana
c) As duas acertaram o mesmo número de questões.",Matemática
"Como Calcular as Razões Trigonométricas?",Matemática
"(UFPI) Um avião decola, percorrendo uma trajetória retilínea, formando com o solo, um ângulo de 30º (suponha que a região sobrevoada pelo avião seja plana). Depois de percorrer 1 000 metros, qual a altura atingida pelo avião?",Matemática
"(FCC) Qual é a velocidade escalar média, em km/h, de uma pessoa que percorre a pé 1200 m em 20 min?

a) 4,8
b) 3,6
c) 2,7
d) 2,1
e) 1,2",Física
"(Cesgranrio) Uma pessoa, correndo, percorre 4,0 km com velocidade escalar média de 12 km/h. O tempo do percurso é de:

a) 3,0 min
b) 8,0 min
c) 20 min
d) 30 min
e) 33 min",Física
"Quantos mililitros correspondem 35 litros?",Física
"Quantos metros cúbicos possui um paralelepípedo de 4500 centímetros cúbicos ?",Física
"Quais são os tipos de propagação de calor?",Física
"(PUC-MG) Uma garrafa térmica tem paredes prateadas e duplas com vácuo no espaço intermediário. A vantagem de se fabricarem garrafas térmicas assim é porque as paredes prateadas:

a) absorvem o calor e o vácuo é um ótimo isolante térmico.
b) são altamente refletoras e o vácuo, um ótimo isolante térmico.
c) absorvem o calor e o vácuo é um excelente condutor.
d) são altamente refletoras e o vácuo é um excelente condutor.",Física
"(Enem-2012) Os carrinhos de brinquedo podem ser de vários tipos. Dentre eles, há os movidos a corda, em que uma mola em seu interior é comprimida quando a criança puxa o carrinho para trás. Ao ser solto, o carrinho entra em movimento enquanto a mola volta à sua forma inicial. O processo de conversão de energia que ocorre no carrinho descrito também é verificado em:

a) um dínamo.
b) um freio de automóvel.
c) um motor a combustão.
d) uma usina hidroelétrica.
e) uma atiradeira (estilingue).",Física
"Como calcular a velocidade média?",Física
"Quais são os tipos de corrente elétrica?",Física
"Qual a estrutura da pirâmide alimentar?",Biologia
"Quais são os tipos de musculo do corpo humano?",Biologia
"Qual a diferença entre fruta e fruto?",Biologia
"O sistema excretor tem como principal função
a) eliminar os componentes alimentares não digeridos no estômago
b) eliminar os fluidos hipotônicos do corpo humano
c) eliminar resíduos das reações químicas no interior das células
d) eliminar materiais insolúveis nos fluidos corporais",Biologia
"Qual a função das mitocôndrias?",Biologia
